波长(nm),大气消光系数(cm⁻¹)
3000.0,3.28406773261224e-06
3001.0,3.2838967015015073e-06
3002.0,3.283725836407766e-06
3003.0,3.284146349831468e-06
3004.0,3.134326803540801e-06
3005.0,3.1341596613783036e-06
3006.0,3.133992772356272e-06
3007.0,3.1338256281473953e-06
3008.0,3.119529000667747e-06
3009.0,3.1193624470620003e-06
3010.0,3.11919648416152e-06
3011.0,3.1190298875882917e-06
3012.0,3.118687981665383e-06
3013.0,3.063143314846982e-06
3014.0,3.062979626664463e-06
3015.0,3.0628154357709193e-06
3016.0,3.0626516858204004e-06
3017.0,2.984570686918489e-06
3018.0,2.9844092239601494e-06
3019.0,2.984248596038499e-06
3020.0,2.984086393099399e-06
3021.0,2.9825130366190283e-06
3022.0,2.9917658971158285e-06
3023.0,2.9916072594625605e-06
3024.0,2.991447293013835e-06
3025.0,2.991286841080862e-06
3026.0,2.921090273858925e-06
3027.0,2.9209330064385767e-06
3028.0,2.9207756386535126e-06
3029.0,2.9206183180829493e-06
3030.0,2.918562754677489e-06
3031.0,2.8164975575660268e-06
3032.0,2.8163437978305865e-06
3033.0,2.81619133011919e-06
3034.0,2.816039132249933e-06
3035.0,2.7088625703920792e-06
3036.0,2.708713592714459e-06
3037.0,2.7085648053121447e-06
3038.0,2.7084158416125738e-06
3039.0,2.7074744781336155e-06
3040.0,2.626480310564645e-06
3041.0,2.626335692425775e-06
3042.0,2.6261905318536347e-06
3043.0,2.6260454022829608e-06
3044.0,2.625901444510934e-06
3045.0,2.5578302968582317e-06
3046.0,2.5576891648575126e-06
3047.0,2.557546575448355e-06
3048.0,2.5566265860489614e-06
3049.0,2.5575312479272597e-06
3050.0,2.5573898474428762e-06
3051.0,2.557248542086747e-06
3052.0,2.5571077914534714e-06
3053.0,2.5569659542822943e-06
3054.0,2.639242612244518e-06
3055.0,2.639098646416957e-06
3056.0,2.6389551851301953e-06
3057.0,2.6388113508036317e-06
3058.0,2.6376180842913483e-06
3059.0,2.7261764955751076e-06
3060.0,2.72603089988045e-06
3061.0,2.7258846360503216e-06
3062.0,2.725738692219062e-06
3063.0,2.7939327643328165e-06
3064.0,2.793785034350845e-06
3065.0,2.7936368267322945e-06
3066.0,2.793489120057612e-06
3067.0,2.7927889416359305e-06
3068.0,2.8353284552323316e-06
3069.0,2.835180837435914e-06
3070.0,2.8350320948830714e-06
3071.0,2.834883007654258e-06
3072.0,2.834735225680467e-06
3073.0,2.843426449880241e-06
3074.0,2.8432785802099e-06
3075.0,2.843129871501236e-06
3076.0,2.842128695221096e-06
3077.0,2.723310507815076e-06
3078.0,2.7231659649437195e-06
3079.0,2.7230215899795287e-06
3080.0,2.7228787206754293e-06
3081.0,2.7227337961182915e-06
3082.0,2.6726348591072623e-06
3083.0,2.6724932284421828e-06
3084.0,2.672351287145945e-06
3085.0,2.6722086574396876e-06
3086.0,2.6718672728447736e-06
3087.0,2.6012195884898354e-06
3088.0,2.601079374960035e-06
3089.0,2.600940490904222e-06
3090.0,2.600800083398778e-06
3091.0,2.6006608220438495e-06
3092.0,2.5030150321706355e-06
3093.0,2.502879642265246e-06
3094.0,2.502742368966242e-06
3095.0,2.5026071531239162e-06
3096.0,2.512613506738726e-06
3097.0,2.5124763015938993e-06
3098.0,2.512340995169644e-06
3099.0,2.512204422049775e-06
3100.0,2.512069347787516e-06
3101.0,2.536779607350184e-06
3102.0,2.536643025480756e-06
3103.0,2.5365053443830593e-06
3104.0,2.5363689743634892e-06
3105.0,2.536634869834928e-06
3106.0,2.6231210293806493e-06
3107.0,2.6229805376075193e-06
3108.0,2.622839986647903e-06
3109.0,2.6227004181937943e-06
3110.0,2.6225599245330586e-06
3111.0,2.776108272079745e-06
3112.0,2.775962336765662e-06
3113.0,2.7758178217047622e-06
3114.0,2.7756719484214606e-06
3115.0,2.7769052369715535e-06
3116.0,3.0189594835486583e-06
3117.0,3.018806166253559e-06
3118.0,3.0186531703597562e-06
3119.0,3.018501244231648e-06
3120.0,3.018347370841813e-06
3121.0,3.132648972800459e-06
3122.0,3.132493078725809e-06
3123.0,3.132337589144155e-06
3124.0,3.1321825056501556e-06
3125.0,3.133926523540022e-06
3126.0,3.2244232394809365e-06
3127.0,3.2242643545855597e-06
3128.0,3.2241045850346112e-06
3129.0,3.223946046171895e-06
3130.0,3.2750759041482422e-06
3131.0,3.2749151920667693e-06
3132.0,3.274753881360544e-06
3133.0,3.274593055980957e-06
3134.0,3.2778106441761683e-06
3135.0,3.182511123036e-06
3136.0,3.182350278642561e-06
3137.0,3.182189132664475e-06
3138.0,3.1820268684514176e-06
3139.0,3.1818664340083356e-06
3140.0,3.1899150548745377e-06
3141.0,3.189753465672631e-06
3142.0,3.1895915793957626e-06
3143.0,3.189429546253242e-06
3144.0,3.193211073835307e-06
3145.0,3.332240787118048e-06
3146.0,3.3320724797382685e-06
3147.0,3.331904892764002e-06
3148.0,3.331736083173558e-06
3149.0,3.3315680678552118e-06
3150.0,3.555640009526606e-06
3151.0,3.555466194797651e-06
3152.0,3.5552911254184393e-06
3153.0,3.5551170301113503e-06
3154.0,3.5571777926259585e-06
3155.0,3.867534233514572e-06
3156.0,3.867349691119256e-06
3157.0,3.867164370907211e-06
3158.0,3.866980408688472e-06
3159.0,3.8667965647612275e-06
3160.0,4.131304982377646e-06
3161.0,4.131111871595056e-06
3162.0,4.130918066790707e-06
3163.0,4.130724553566902e-06
3164.0,4.128540875216094e-06
3165.0,4.14842541996504e-06
3166.0,4.148229686146017e-06
3167.0,4.148033230755373e-06
3168.0,4.147837122329402e-06
3169.0,4.147641269340912e-06
3170.0,4.024141912526253e-06
3171.0,4.023943674691125e-06
3172.0,4.02374590644682e-06
3173.0,4.023547830570109e-06
3174.0,4.0178730173662485e-06
3175.0,3.7982818799295544e-06
3176.0,3.7980911876494803e-06
3177.0,3.79789984945464e-06
3178.0,3.797710215654481e-06
3179.0,3.7975186577109866e-06
3180.0,3.4396583348080907e-06
3181.0,3.4394759318794102e-06
3182.0,3.439294721204729e-06
3183.0,3.4391131231224955e-06
3184.0,3.4345704389330947e-06
3185.0,3.0246634655288242e-06
3186.0,3.024498355187995e-06
3187.0,3.0243340629524175e-06
3188.0,3.0241690135983978e-06
3189.0,3.024004367670285e-06
3190.0,2.586173936721238e-06
3191.0,2.586028235748101e-06
3192.0,2.5858821293992993e-06
3193.0,2.585737197133483e-06
3194.0,2.5835160576637207e-06
3195.0,2.190694511933852e-06
3196.0,2.190571817030807e-06
3197.0,2.190448104951431e-06
3198.0,2.1903248178571848e-06
3199.0,2.1902009055858076e-06
3200.0,1.9658510230272355e-06
3201.0,1.965741452769745e-06
3202.0,1.9656316965867987e-06
3203.0,1.9655220838889626e-06
3204.0,1.9654124563387794e-06
3205.0,1.964035976719421e-06
3206.0,1.859303834978523e-06
3207.0,1.8592017705851399e-06
3208.0,1.8590988124544199e-06
3209.0,1.858996680065585e-06
3210.0,1.858894418985133e-06
3211.0,1.8605573974188935e-06
3212.0,1.860454720221361e-06
3213.0,1.8603521820696994e-06
3214.0,1.860249318308064e-06
3215.0,1.859499302545995e-06
3216.0,1.9721846501419203e-06
3217.0,1.972075048766664e-06
3218.0,1.97196494859803e-06
3219.0,1.971854956315254e-06
3220.0,1.9717452150043532e-06
3221.0,2.0998896352962216e-06
3222.0,2.099771020950772e-06
3223.0,2.099652360268274e-06
3224.0,2.099534252576841e-06
3225.0,2.0990422493186665e-06
3226.0,2.2299882218226767e-06
3227.0,2.229860473933428e-06
3228.0,2.229734025609906e-06
3229.0,2.229606160986839e-06
3230.0,2.2294791921736184e-06
3231.0,2.2293523751962464e-06
3232.0,2.4136968760236254e-06
3233.0,2.4135582589440754e-06
3234.0,2.413418673130449e-06
3235.0,2.413279796928923e-06
3236.0,2.413394278104577e-06
3237.0,2.4985430996303857e-06
3238.0,2.4983979739683097e-06
3239.0,2.4982525819775354e-06
3240.0,2.498106742181626e-06
3241.0,2.497961253438902e-06
3242.0,2.510834082357818e-06
3243.0,2.5106873213226213e-06
3244.0,2.5105409170422534e-06
3245.0,2.51039501820646e-06
3246.0,2.5117686911223262e-06
3247.0,2.550805372315405e-06
3248.0,2.5506558394225894e-06
3249.0,2.5505063681564523e-06
3250.0,2.5503571035902656e-06
3251.0,2.550207921765506e-06
3252.0,2.5500589407744326e-06
